text,category,amount
Paid INR44673 at PlayStation,Entertainment,44673
Dominos 21425 Rs,Food,21425
flight cost 44264 rs,Transport,44264
26451 paid to Practo via paytm,Health,26451
winter wear purchase inr 32781,Shopping,32781
just paid electronics bill 18440.00,Shopping,18440
postpaid cost 7277.00,Utilities,7277
Paid for rent 16917 rs,Housing,16917
Toll Inr29732 ... Not 29794,Transport,29732
Bill from Airtel of 3221.00,Utilities,3221
Dth Yearly Subscription Rs. 32711 via phonepe,Utilities,32711
Transaction at Ola for ₹33873,Transport,33873
Cult.fit 47301.00,Health,47301
Bill from Coursera of ₹35936 via paytm,Education,35936
"BigBasket INR 45457 is the amount, not 17919",Food,45457
Shoes Cost Inr 16972 today,Shopping,16972
just paid postpaid bill inr26556,Utilities,26556
Kfc Typo 39481 Read As 3649.00 today,Food,3649
Office Canteen Lunch Inr 21029,Food,21029
bank ₹9228,Income,9228
debit swipe hp petrol 29943.00,Transport,29943
INR 40181 paid to Indigo,Transport,40181
Party Expense Inr 32733 on 12/05,Entertainment,32733
Indigo Payment ₹38334 today,Transport,38334
party cost INR 21220 upi ref 37139,Entertainment,21220
"starbucks calculated 38144 incorrectly, actual is 33248.00",Food,33248
1Mg 33003 Rs,Health,33003
Cult.fit payment 5899.00 on card,Health,5899
wifi bill payment INR7931,Utilities,7931
renewed netflix subscription Rs. 48233,Entertainment,48233
Transaction at Zomato for Rs. 11059,Food,11059
Just paid wifi bill 28360 rs,Housing,28360
INR 42524 paid to Subway,Food,42524
clothes charges 6725.00,Shopping,6725
UPI payment to Tata Sky Rs. 14269 on card,Utilities,14269
Ordered from Decathlon ₹17817,Shopping,17817
37938.00 paid to Employer,Income,37938
book expense Rs. 33934,Education,33934
mobile charges 29477,Utilities,29477
INR25418 paid to Act Fibernet last night,Utilities,25418
snack payment of 9110,Food,9110
Bill from Flipkart of ₹43670,Shopping,43670
28458 rs paid to Unacademy,Education,28458
metro payment of INR38315,Transport,38315
Accessories Not 2435 But 1141 Rs last night,Shopping,1141
10301.00 Paid To Instamart,Food,10301
UPI payment to HP Petrol Rs. 23344 yesterday,Transport,23344
"Ajio Calculated 48366 incorrectly, actual is 47769.00",Shopping,47769
dinner Bill is INR12345 not 31540,Food,12345
INR3408 paid to McDonalds,Food,3408
ordered from mcdonalds inr 48807,Food,48807
apparel cost INR29479,Shopping,29479
shopping spree at mall ₹25743 upi ref 70322,Shopping,25743
paid for trip 45911 rs,Transport,45911
show expense Rs. 40431,Entertainment,40431
Spent ₹40042 on fruits,Food,40042
just paid toll bill 14075.00,Transport,14075
renewed netflix subscription inr 39197 yesterday,Entertainment,39197
tea break at stall 1581 rs successful,Food,1581
booked flight tickets for vacation ₹28402,Transport,28402
Bill From Bank Of ₹18603,Income,18603
Debit swipe Shell Rs. 45811,Transport,45811
spent inr 29065 on practo,Health,29065
Paid 25480.00 At Asian Paints via gpay last night,Housing,25480
workshop on ai 26631.00,Education,26631
"Gold's Gym Calculated 36226 incorrectly, actual is ₹22169",Entertainment,22169
43109 rs for training via phonepe,Education,43109
IRCTC payment Rs. 19642,Transport,19642
Debit swipe Amazon INR3838,Shopping,3838
Upi Payment To Irctc Inr24319 upi ref 77936,Transport,24319
rent expense Rs. 23915,Housing,23915
transfer payment of 12092 rs,Others,12092
unacademy 23356.00 cred,Education,23356
Spent Rs. 18407 on cinema cred,Entertainment,18407
Just paid breakfast bill ₹2163,Food,2163
adidas payment inr 42614,Shopping,42614
auto rickshaw fare 8294,Transport,8294
₹29105 paid to Pizza Hut cred,Food,29105
ordered from swiggy 12326,Food,12326
prepaid expense ₹10225,Utilities,10225
Spent ₹43143 on recharge,Utilities,43143
Monthly accessories ₹31310 cred,Shopping,31310
Paid 52 rs at Nike,Shopping,52
cafe payment of ₹25121,Food,25121
maid salary for this month Rs. 21310,Housing,21310
Debit swipe Jio 48109.00,Utilities,48109
Transaction at Apple Store for 5567,Shopping,5567
paid inr 38067 at vi txn id 744374,Utilities,38067
"metro Calculated 33596 incorrectly, actual is ₹20245 upi ref 33814",Transport,20245
Monthly train 3099 via phonepe,Transport,3099
paid inr37515 at burger king,Food,37515
transaction at disney+ for ₹39160,Entertainment,39160
Spent INR 38081 on hospital,Health,38081
Employer Payment Rs. 40120,Income,40120
school bus fee INR 27443 txn id 297494,Education,27443
UPI payment to Swiggy INR88,Food,88
₹42655 paid to Coursera,Education,42655
"Zara Inr 6571 Is The Amount, Not 17324 yesterday",Shopping,6571
transaction at pizza hut for inr32342,Food,32342
water bill 11722 no make it inr 27738,Housing,27738
Bill from Flipkart of 16772.00,Shopping,16772
food expense ₹45704,Food,45704
ordered from flipkart 42626,Shopping,42626
shoes bill is rs. 1946 not 33547,Shopping,1946
monthly dinner 30081.00,Food,30081
paid for fee rs. 49075 on 12/05,Education,49075
upi payment to adidas rs. 1271,Shopping,1271
Spent INR31 on yoga,Health,31
UPI payment to HP Petrol 11365,Transport,11365
Monthly cinema 15390 rs,Entertainment,15390
Just paid cinema bill INR 26765,Entertainment,26765
monthly bus pass renewal inr23428 via phonepe,Transport,23428
Pizza Hut Bill is ₹46869 not 45270,Food,46869
decathlon not 28665 but 18211.00,Shopping,18211
Paid ₹12966 at Bank last night,Income,12966
bill from client of inr49491,Income,49491
ordered late night snacks 368.00,Food,368
paid inr20662 at rapido successful,Transport,20662
bill from adidas of rs. 37672,Shopping,37672
Transaction At Subway For 5851.00,Food,5851
Rent Cost Inr 42663,Housing,42663
monthly bus pass renewal ₹8644 via paytm,Transport,8644
3825 paid to BookMyShow upi ref 68113,Entertainment,3825
"cashback Calculated 21496 incorrectly, actual is ₹15383",Income,15383
IMAX Not 30941 but 37803.00,Entertainment,37803
Fuel Filled For Bike Inr40822,Transport,40822
withdrawal charges INR 11424,Others,11424
25379.00 for shopping,Shopping,25379
cafe payment of INR28784 via gpay,Food,28784
Ordered from IKEA INR10706,Housing,10706
went out for dinner with friends ₹1035 yesterday,Food,1035
Paid INR3872 at Myntra today,Shopping,3872
"event calculated 28148 incorrectly, actual is inr21159 upi ref 47017",Entertainment,21159
UPI payment to Zomato INR44900 via gpay,Food,44900
paid 11612 rs at ola,Transport,11612
rapido not 15889 but 3534,Transport,3534
Ordered from Asian Paints ₹47377,Housing,47377
Blinkit ₹31822 on 12/05,Food,31822
bill from myntra of 19883,Shopping,19883
Accessories Cost Inr 32005 via gpay,Shopping,32005
INR 10626 for coffee,Food,10626
freelance payment received 14206 rs,Income,14206
₹12692 Paid To Urban Company,Housing,12692
apparel charges INR11512,Shopping,11512
Ordered from HP Petrol INR 435,Transport,435
Transaction at Jio for INR39643 cred,Utilities,39643
Ordered from Starbucks Rs. 30500,Food,30500
Tata Sky Paid 3207 wait no 46441.00 upi ref 93631,Utilities,46441
Upi Payment To 1Mg Rs. 30660,Health,30660
bill from udemy of ₹30661,Education,30661
Lunch Payment Of 37588 Rs,Food,37588
nike 30802.00 ... not 2243,Shopping,30802
vegetables charges INR 9340,Food,9340
Lunch Expense 40441.00,Food,40441
event payment of INR49387,Entertainment,49387
cafe expense INR20668 cred,Food,20668
game expense 9270 rs,Entertainment,9270
Jio Transfer 8966 actually 22170.00 on 12/05,Utilities,22170
Zomato INR10624 instead of 4098,Food,10624
bonus received 7310,Income,7310
Bill from Uber of INR 31262 upi ref 74619,Transport,31262
Monthly Atm Rs. 46794,Others,46794
pharmacy 1433 rs instead of 16499,Health,1433
Broadband Cost 7811 Rs on 12/05,Utilities,7811
Debit swipe KFC 6481,Food,6481
debit swipe decathlon 16015.00,Shopping,16015
Transaction at BigBasket for ₹16337 today,Food,16337
rs. 24091 for coffee,Food,24091
shopping spree at mall inr1800 txn id 438162 today,Shopping,1800
food expense 40535,Food,40535
employer payment 23878 rs,Income,23878
Jio Typo 15488 read as 36847 rs,Utilities,36847
"Flipkart 25548 Rs Is The Amount, Not 18013",Shopping,25548
paid 4562 rs at bescom,Utilities,4562
Ordered Clothes Online Inr 12180,Shopping,12180
auto expense inr 6868,Transport,6868
Paid 43144 at Asian Paints,Housing,43144
Bill From Air Asia Of Inr 47175,Transport,47175
gift for anniversary 30416 rs,Shopping,30416
Doctor Payment Of Rs. 4540,Health,4540
Spent 8122.00 on Cure.fit last night,Health,8122
bus transfer 2067 actually ₹21418,Transport,21418
spent inr43053 on jio,Utilities,43053
upi payment to playstation rs. 11275,Entertainment,11275
doctor payment of 43071.00,Health,43071
paid for food inr 18565,Food,18565
Transaction at Apple Store for 38425.00,Shopping,38425
"gift inr 37427 is the amount, not 43563 txn id 585995",Shopping,37427
Spent Rs. 15578 on party,Entertainment,15578
₹12102 for postpaid,Utilities,12102
11983 rs paid to Act Fibernet on card,Utilities,11983
Paid INR 679 at Ola successful,Transport,679
Weekend Party Expenses ₹25272,Entertainment,25272
Flipkart 48847 rs,Shopping,48847
debit swipe 1mg 37824.00,Health,37824
Bill from BookMyShow of 35860 rs,Entertainment,35860
"electronics Calculated 23875 incorrectly, actual is Rs. 9733",Shopping,9733
Gas Cylinder Booking 45546,Utilities,45546
Paid for flight ₹48855,Transport,48855
birthday gift inr18557 last night,Shopping,18557
Just paid recharge bill 31608.00 last night,Utilities,31608
Paid 1008.00 at Shell,Transport,1008
BigBasket 3198,Food,3198
Instamart payment Rs. 41172,Food,41172
shoes payment of ₹23386,Shopping,23386
ordered from irctc inr25296,Transport,25296
Bill From Cult.Fit Of Inr30251,Health,30251
bonus received 24760 rs,Income,24760
debit swipe ajio inr15406,Shopping,15406
Ordered Late Night Snacks 8341 Rs via gpay,Food,8341
Ordered from Subway INR 49149 on 12/05,Food,49149
just paid doctor bill inr 27191 yesterday,Health,27191
test Typo 12974 read as 40403.00 via paytm,Health,40403
pizza hut payment 24697,Food,24697
Amazon payment INR26138,Shopping,26138
Spent INR 45707 on vegetables,Food,45707
PVR 32341.00 ... not 12551,Entertainment,32341
Home Centre Transfer 2311 actually ₹20724 cred,Housing,20724
Weekend Party Expenses 19130.00,Entertainment,19130
charity donation 39187,Others,39187
electronics cost 21592.00 via gpay,Shopping,21592
Monthly water bill 48728,Housing,48728
atm cost 30846 rs,Others,30846
INR27566 paid to Subway,Food,27566
Bill from Decathlon of INR 42923,Shopping,42923
ordered clothes online INR25012,Shopping,25012
Parking Expense Inr 7024,Transport,7024
Paid 26985 rs at Netflix,Entertainment,26985
Debit swipe Instamart 33657,Food,33657
gas cylinder booking 14781 rs,Utilities,14781
lunch payment of 42667 rs cred,Food,42667
bought vegetables from local shop INR14386,Food,14386
Bill from Charity of 18980.00,Others,18980
subscription Not 3119 but 44031.00,Entertainment,44031
"Dominos Calculated 2895 incorrectly, actual is 34242 via paytm last night",Food,34242
spent inr 25400 on rapido,Transport,25400
Fitness Payment Of Inr 14578,Health,14578
train ticket booking tatkal 48999,Transport,48999
Paid 5394 At Client,Income,5394
Dinner Payment Of 7309 yesterday,Food,7309
hospital Transfer 25951 actually 31671.00 txn id 409699,Health,31671
Ordered from Pizza Hut Rs. 49311,Food,49311
Transaction at Apollo Pharmacy for 38384,Health,38384
show payment of ₹577,Entertainment,577
48119 rs for sent yesterday,Others,48119
Transaction at Unacademy for 37295.00,Education,37295
37386 rs paid to Zara,Shopping,37386
bigbasket payment inr 26263,Food,26263
petty cash expense 31797 txn id 296395,Others,31797
shopping charges 26185,Shopping,26185
clinic 37364 instead of 32252,Health,37364
46101 rs paid to BigBasket,Food,46101
cab expense INR8288,Transport,8288
office cab ride Rs. 10706,Transport,10706
Air Asia INR 28066 ... not 420,Transport,28066
show expense INR 29325,Entertainment,29325
Ride Payment Of Rs. 21464,Transport,21464
unknown transaction INR 7005,Others,7005
Ordered from Udemy Rs. 12306,Education,12306
Hospital Payment Of 18861 Rs,Health,18861
broadband not 20973 but ₹23954,Utilities,23954
Spent Rs. 3900 on Burger King,Food,3900
bill from ajio of rs. 46380 cred,Shopping,46380
Spent 20264 Rs On Received,Others,20264
bonus received ₹38622,Income,38622
Debit Swipe Rapido 18744,Transport,18744
Ordered From Indigo Rs. 34892 debt,Transport,34892
Monthly maintenance 1286 debt,Housing,1286
training cost INR49587,Education,49587
Dominos 17216,Food,17216
Spent INR 12329 on subscription,Entertainment,12329
dth payment of 15666.00 txn id 368218,Utilities,15666
Debit swipe Client 12704.00 last night,Income,12704
Spent 20701 rs on coffee,Food,20701
spent 8871 on electronics,Shopping,8871
debit swipe h&m inr 30209,Shopping,30209
dominos payment rs. 11936,Food,11936
Paid for petrol INR42414,Transport,42414
Breakfast Charges 31788 Rs,Food,31788
Monthly metro INR 25812,Transport,25812
Paid 9346 Rs At Zomato,Food,9346
adidas inr18300,Shopping,18300
ordered from unknown inr 13380,Others,13380
Paid for snack 18239 on 12/05,Food,18239
breakfast cost ₹11823,Food,11823
spent ₹19843 on lunch cred,Food,19843
bought vegetables from local shop INR 26771,Food,26771
Ordered from Unacademy INR 9703 upi ref 24466,Education,9703
shopping spree at mall rs. 43787,Shopping,43787
nobroker paid 47176 wait no inr 26400,Housing,26400
"Myntra ₹46793 is the amount, not 23623 debt",Shopping,46793
gift for wedding ₹20925,Others,20925
debit swipe hp petrol ₹9181,Transport,9181
bill from ola of 18292,Transport,18292
Transaction At H&M For Inr10058,Shopping,10058
Debit swipe Dominos Rs. 6132 yesterday,Food,6132
Debit swipe Coursera 35623,Education,35623
movie charges 29943 cred last night,Entertainment,29943
inr29537 paid to apple store,Shopping,29537
dividend cost INR1866,Income,1866
electronics charges INR23574,Shopping,23574
Transaction at 1mg for 35995,Health,35995
transaction at kfc for inr29483,Food,29483
airtel payment 20267,Utilities,20267
Checkup Payment Of 14805 yesterday,Health,14805
concert tickets booking 20585 rs,Entertainment,20585
breakfast Paid 45919 wait no ₹44622,Food,44622
fee Bill is 11181... sorry ₹48520 last night,Education,48520
Ordered from Bank 23457 rs,Income,23457
Friend 23301.00,Others,23301
debit swipe swiggy ₹44767,Food,44767
Transaction at Urban Company for 24407 rs,Housing,24407
Monthly shoes INR 5792,Shopping,5792
monthly breakfast 35608 rs cred,Food,35608
transaction at ajio for 25961.00,Shopping,25961
parking charges at mall 35244.00 on 12/05,Transport,35244
Ordered From Steam 42687.00,Entertainment,42687
UPI payment to Apollo Pharmacy ₹38880 upi ref 96542,Health,38880
Spent 7836 on shopping,Shopping,7836
16216.00 for book,Education,16216
Bill from Bescom of 12370 rs successful,Utilities,12370
Ordered from IKEA INR 6862 successful,Housing,6862
restaurant expense rs. 12784,Food,12784
Udemy Bill is 46580 not 19799,Education,46580
Shell Bill is 19744... sorry 7868 rs today,Transport,7868
paid inr9225 at airtel,Utilities,9225
Debit swipe PVR 3160.00,Entertainment,3160
Ordered from PVR 2455,Entertainment,2455
subscription ₹47350 instead of 16744 txn id 589221,Entertainment,47350
train ticket booking tatkal Rs. 14790,Transport,14790
Urban Company Payment Inr 7800,Housing,7800
Spent 29439 rs on Nike,Shopping,29439
26551.00 paid to amazon,Shopping,26551
34494.00 for restaurant,Food,34494
auto Bill is 9821.00 not 24015,Transport,9821
Ordered from Urban Company 5045,Housing,5045
IRCTC Rs. 17189,Transport,17189
Transaction At Steam For 43474,Entertainment,43474
gym membership renewal 30792 rs,Health,30792
Amazon Prime 38520.00,Entertainment,38520
Spent INR3511 on PlayStation,Entertainment,3511
Rs. 28841 Paid To Friend upi ref 43373,Others,28841
gift transfer 30844 actually inr 1702,Shopping,1702
lunch 6779 instead of 36331 today,Food,6779
Debit Swipe Zara 40239,Shopping,40239
Instamart Paid 37738 wait no 38288.00,Food,38288
coffee cost ₹35377,Food,35377
received payment of INR 47400,Others,47400
Paid for concert 32066.00,Entertainment,32066
Paid 47525 At Hp Petrol,Transport,47525
mcdonalds payment ₹48190 debt,Food,48190
10499 paid to Air Asia,Transport,10499
gift expense 31788,Shopping,31788
₹38252 For Salary,Income,38252
Subway Rs. 2533 ... not 29953 on 12/05,Food,2533
Monthly apparel INR 38827 via paytm,Shopping,38827
Paid INR 38426 at Decathlon,Shopping,38426
Purchase Cost Rs. 10417,Shopping,10417
Airtel payment 29529 rs,Utilities,29529
vegetables charges 7080,Food,7080
transaction at zara for 26310 debt,Shopping,26310
BookMyShow Transfer 22521 actually 45701.00 on 12/05,Entertainment,45701
upi payment to swiggy inr33836,Food,33836
dinner charges Rs. 1236,Food,1236
Monthly Dinner Inr 14786,Food,14786
Monthly Fuel 37649 Rs via phonepe,Transport,37649
UPI payment to Indigo INR16005,Transport,16005
upi payment to imax inr 42531,Entertainment,42531
Unknown Payment ₹5690 on 12/05,Others,5690
Spent 33495 on NoBroker,Housing,33495
electronics store bill Rs. 46243 last night,Shopping,46243
shopping payment of ₹14174,Shopping,14174
2660 paid to rapido via gpay,Transport,2660
H&M payment INR1741 on card,Shopping,1741
9415 paid to Adidas yesterday,Shopping,9415
Apple Store Inr 25106,Shopping,25106
purchase charges 45072.00 yesterday,Shopping,45072
Debit swipe Client 10187.00,Income,10187
monthly shopping rs. 28866,Shopping,28866
Transaction at Air Asia for ₹3129,Transport,3129
Just paid prepaid bill 19032 rs,Utilities,19032
"H&M 1121 is the amount, not 21409 debt",Shopping,1121
Spent Rs. 48486 on maid,Housing,48486
Bill from Burger King of Rs. 6932,Food,6932
Ordered from Bank 23498,Income,23498
metro ride to work 12125,Transport,12125
bonus received 42164.00,Income,42164
Paid for concert 46404 rs,Entertainment,46404
910 paid to Unknown,Others,910
Transaction at Subway for 18546.00,Food,18546
Bill From Pvr Of Inr35206,Entertainment,35206
Rapido 13865.00 ... not 49116,Transport,13865
Paid For Rent Rs. 7556 via phonepe,Housing,7556
Spent ₹12628 On Electronics on 12/05,Shopping,12628
"gift ₹18562 is the amount, not 39788",Shopping,18562
adidas transfer 36921 actually inr 17910 on 12/05,Shopping,17910
Late Night Craving Order Inr27908,Food,27908
43216 Paid To Dominos,Food,43216
Sunday Brunch Bill ₹47100 txn id 536802,Food,47100
Just paid restaurant bill Rs. 43490,Food,43490
renewed netflix subscription 8201,Entertainment,8201
UPI payment to NoBroker ₹33696,Housing,33696
Spent Rs. 24583 on food,Food,24583
booked flight tickets for vacation ₹8689,Transport,8689
Bill From Bescom Of Rs. 5105 txn id 979688,Utilities,5105
inr43913 for dinner cred,Food,43913
Train Ticket Booking Tatkal Inr7405,Transport,7405
Steam Spent 49184 oh wait it was ₹29265 via paytm,Entertainment,29265
Spent Rs. 49261 on Myntra,Shopping,49261
₹49838 for vegetables,Food,49838
₹36292 paid to Rapido,Transport,36292
lunch cost 40493 rs txn id 123205,Food,40493
Tata Sky Typo 23266 read as INR 45210,Utilities,45210
Shopping Cost 34323 Rs,Shopping,34323
Paid ₹44745 At Vi,Utilities,44745
went out for dinner with friends 2978 rs,Food,2978
Bill from BigBasket of INR 43571 via paytm,Food,43571
debit swipe shell 31414 rs,Transport,31414
ordered from urban company inr 35831,Housing,35831
went out for dinner with friends 31329 rs,Food,31329
Paid for food Rs. 35684,Food,35684
metro ride to work 42350.00,Transport,42350
booked flight tickets for vacation 14795.00,Transport,14795
Bill From Home Centre Of Rs. 37243,Housing,37243
Dinner Payment Of 21372 Rs,Food,21372
shoes expense Rs. 3639,Shopping,3639
PlayStation 13788.00,Entertainment,13788
Spotify Rs. 20307,Entertainment,20307
Amazon Prime ₹8533 ... not 4935,Entertainment,8533
Bill From Air Asia Of Inr5397 on card,Transport,5397
Debit swipe IKEA INR 17576,Housing,17576
Zomato Rs. 38185 instead of 8362,Food,38185
Transaction at Blinkit for 46319 rs,Food,46319
₹25758 paid to Home Centre yesterday,Housing,25758
event charges ₹4989,Entertainment,4989
lunch Transfer 32821 actually 42352 rs cred,Food,42352
received 30185.00 ... not 12435,Others,30185
burger king 37184,Food,37184
Debit swipe Zara INR28174,Shopping,28174
apple store 19986.00,Shopping,19986
Inr31492 Paid To Zara,Shopping,31492
just paid cafe bill ₹34865,Food,34865
Broadband Cost ₹18221 today,Utilities,18221
Ordered From Dishtv 21980.00 today,Utilities,21980
ordered from urban company inr33864,Housing,33864
Friend payment 38536.00 txn id 533284,Others,38536
Just Paid Grocery Bill 5636 on 12/05,Food,5636
INR49575 for food cred,Food,49575
bill from decathlon of 3140,Shopping,3140
Ordered from Decathlon 20492.00 via gpay,Shopping,20492
Paid for game Rs. 43102,Entertainment,43102
Spent ₹38450 on electronics via phonepe,Shopping,38450
17231.00 paid to myntra,Shopping,17231
inr 11203 for dinner,Food,11203
Paid For Electronics 10675,Shopping,10675
IKEA Spent 9165 oh wait it was Rs. 34764,Housing,34764
electrician paid 7648 wait no rs. 48286,Housing,48286
irctc bill is rs. 27851 not 38316,Transport,27851
UPI payment to McDonalds ₹32725 today,Food,32725
Monthly fee INR 27013,Education,27013
auto rickshaw fare 8473 rs,Transport,8473
birthday treat for team 28787 rs via paytm,Food,28787
Ordered from Myntra INR2682 via phonepe,Shopping,2682
UPI payment to Gold's Gym 47751,Entertainment,47751
Transaction at HP Petrol for ₹17560,Transport,17560
spent 42461 on hp petrol,Transport,42461
Upi Payment To Adidas 3427 Rs successful,Shopping,3427
"metro 31607 is the amount, not 4925 cred",Transport,31607
Cult.fit INR 37763,Health,37763
Transaction at IMAX for ₹42894 successful,Entertainment,42894
Paid INR6518 at Employer,Income,6518
INR18373 for purchase cred,Shopping,18373
late night craving order Rs. 48222 debt,Food,48222
Upi Payment To Myntra Inr29433,Shopping,29433
"maid Calculated 44600 incorrectly, actual is Rs. 37559",Housing,37559
debit swipe mcdonalds ₹20728 cred,Food,20728
metro typo 19808 read as ₹2660,Transport,2660
Adidas Bill is ₹34096 not 47375,Shopping,34096
Paid 5795 at BookMyShow,Entertainment,5795
vegetables paid 43147 wait no inr 45837,Food,45837
grocery 17177 no make it INR21869 via gpay,Food,21869
fuel filled for bike rs. 27142,Transport,27142
Inr43854 Paid To Air Asia,Transport,43854
mobile recharge done 4039,Utilities,4039
Debit swipe IKEA ₹41780,Housing,41780
tuition payment of Rs. 27074 upi ref 76624,Education,27074
physiotherapy session inr22649 debt,Health,22649
Ordered from Coursera 33406 rs,Education,33406
inr 47647 for plumber,Housing,47647
Electronics Expense Rs. 25185 on 12/05,Shopping,25185
coffee charges INR43970,Food,43970
fuel filled for bike inr5010,Transport,5010
₹12182 paid to Act Fibernet,Utilities,12182
breakfast cost Rs. 26642,Food,26642
Debit Swipe Dominos 44122.00,Food,44122
Spent INR 11861 on Client,Income,11861
streaming service monthly fee INR 30123,Entertainment,30123
Spent INR3512 on Act Fibernet,Utilities,3512
48489 paid to Airtel,Utilities,48489
tea break at stall INR 48148,Food,48148
26928 paid to Air Asia,Transport,26928
just paid breakfast bill 47825 debt last night,Food,47825
"unacademy inr43555 is the amount, not 47977",Education,43555
Paid Rs. 12619 at Steam,Entertainment,12619
auto payment of 5014 rs successful,Transport,5014
snack cost 49460 via paytm,Food,49460
dinner Paid 35893 wait no 48484 rs,Food,48484
Inr44704 Paid To Employer,Income,44704
Electronics Store Bill 27095.00,Shopping,27095
fuel Spent 3708 oh wait it was Rs. 39406,Transport,39406
₹26400 paid to adidas,Shopping,26400
ordered from starbucks inr 10322,Food,10322
uber paid 30949 wait no 1288.00,Transport,1288
Spent INR 34066 on Adidas,Shopping,34066
Paid Inr 2934 At Blinkit successful,Food,2934
instamart 9907 no make it ₹41343,Food,41343
31412.00 Paid To Ikea,Housing,31412
42768 paid to kindle debt,Education,42768
UPI payment to KFC ₹44074,Food,44074
Monthly Fitness Center 30019,Entertainment,30019
breakfast charges inr 5562,Food,5562
25762.00 Paid To Pizza Hut,Food,25762
diwali shopping for family ₹12180 on 12/05,Shopping,12180
Freelance Payment Received Inr 37765,Income,37765
playstation spent 8404 oh wait it was 2990 rs,Entertainment,2990
ordered from h&m rs. 48484,Shopping,48484
24943 rs paid to Subway,Food,24943
paid rs. 18584 at home centre,Housing,18584
Debit swipe KFC 24098,Food,24098
UPI payment to IRCTC INR36566,Transport,36566
flight expense 41436 rs,Transport,41436
Paid Monthly House Rent 2342 Rs,Housing,2342
Bill from IMAX of INR 47350,Entertainment,47350
NoBroker payment 35511.00,Housing,35511
Paid for dividend ₹39312 last night,Income,39312
Flipkart 22736 no make it 4336.00,Shopping,4336
zara spent 12967 oh wait it was 33275,Shopping,33275
Monthly purchase 16875.00,Shopping,16875
electrician payment of rs. 32126,Housing,32126
blinkit 11244 debt,Food,11244
bowling alley bill 30837 rs,Entertainment,30837
upi payment to kindle inr17421,Education,17421
Monthly Grocery 34767,Food,34767
Monthly cinema 49302 rs,Entertainment,49302
mobile recharge done inr 5631,Utilities,5631
Concert Charges Inr39594,Entertainment,39594
petty cash expense INR12818 via paytm last night,Others,12818
clinic charges INR47946,Health,47946
Zomato 7274.00,Food,7274
Ordered from Adidas 16536 rs,Shopping,16536
grocery 10169 was debited... correction ₹36351,Food,36351
ordered from adidas 20641.00,Shopping,20641
Ordered from Indigo Rs. 6880,Transport,6880
Zara 2928 was debited... correction 35636 via phonepe on 12/05,Shopping,35636
"restaurant Calculated 15235 incorrectly, actual is ₹19114",Food,19114
Debit swipe Swiggy 36667,Food,36667
Monthly electrician 35466.00,Housing,35466
Diwali Shopping For Family ₹13143,Shopping,13143
Just Paid Purchase Bill ₹29465,Shopping,29465
accessories charges 32542.00,Shopping,32542
gift Not 30207 but ₹24744,Shopping,24744
BigBasket ₹41067 instead of 11190,Food,41067
9901 paid to Byju's yesterday,Education,9901
Spent Rs. 31053 On Irctc upi ref 67191,Transport,31053
course payment of 16139.00 upi ref 71903,Education,16139
Paid ₹17836 at Apollo Pharmacy,Health,17836
IRCTC INR46724 yesterday,Transport,46724
Monthly carpenter INR49731 via gpay,Housing,49731
office canteen lunch ₹17988,Food,17988
26132 paid to Airtel,Utilities,26132
Ola payment INR 11381 last night,Transport,11381
Myntra 48291.00,Shopping,48291
streaming service monthly fee Rs. 4519 txn id 629518,Entertainment,4519
Upi Payment To Dominos 17506.00,Food,17506
33002 rs for game,Entertainment,33002
Spent 34650 On H&M,Shopping,34650
INR 105 paid to Act Fibernet,Utilities,105
Upi Payment To Asian Paints 44956 Rs,Housing,44956
Spent INR 13012 on 1mg,Health,13012
shoes expense 24860,Shopping,24860
broadband expense 34214.00 via gpay,Utilities,34214
Paid for gift INR 7329,Shopping,7329
Ordered from Decathlon 31968 on card,Shopping,31968
Spent 4888.00 on electrician on 12/05,Housing,4888
spent inr 18807 on zara,Shopping,18807
Monthly cafe 37455.00,Food,37455
Paid for transfer Rs. 9163,Others,9163
Rs. 24253 paid to Dominos cred yesterday,Food,24253
Bill from Shell of ₹3085,Transport,3085
UPI payment to Dominos 20523 rs via phonepe,Food,20523
Upi Payment To Bescom ₹29780,Utilities,29780
Spent Rs. 35925 on Vi via gpay,Utilities,35925
clothes cost 32259.00,Shopping,32259
Spent Rs. 29611 On Byju'S,Education,29611
Subway ₹18813,Food,18813
Transaction at Apollo Pharmacy for ₹47002,Health,47002
Transaction at PlayStation for INR14973 successful,Entertainment,14973
Bill from Dominos of 46362 rs,Food,46362
Transaction At H&M For 32908.00,Shopping,32908
Bill from Ajio of INR31046,Shopping,31046
society maintenance paid 9619 rs today,Housing,9619
debit swipe disney+ 29997.00,Entertainment,29997
INR 18114 paid to Apple Store,Shopping,18114
Amazon Inr21464,Shopping,21464
Paid INR5533 at Friend,Others,5533
Rapido Paid 36820 Wait No Inr19991 last night,Transport,19991
Ordered from Pizza Hut Rs. 13979,Food,13979
bought vegetables from local shop Rs. 35903,Food,35903
₹27935 for grocery on 12/05,Food,27935
office canteen lunch 11123.00 debt,Food,11123
Debit Swipe Ajio Inr 25365,Shopping,25365
shopping spree at mall INR 32379,Shopping,32379
Spent INR 4036 on Asian Paints,Housing,4036
bus 6410 ... not 48069,Transport,6410
paid rs. 30268 at decathlon,Shopping,30268
carpenter 25617.00 ... not 15940,Housing,25617
Debit swipe Act Fibernet 41820,Utilities,41820
